4116000,     4119000,     USB, 10,  #5500C9C9, 418
4119000,     4122000,     USB, 10,  #55008080, 419
4122000,     4125000,     USB, 10,  #5500C9C9, 420
4125000,     4128000,     USB, 10,  #50FF0091, 421 (Calling/Distress/Safety)
4125000,     4128000,     USB, 10,  #50FF0091, (Distress/ Safety)
4128000,     4131000,     USB, 10,  #55008080, 422
4128000,     4233100,     USB, 10,  #55008080, (Ship TX) Maritime
4131000,     4134000,     USB, 10,  #5500C9C9, 423
4134000,     4137000,     USB, 10,  #55008080, 424
4137000,     4140000,     USB, 10,  #5500C9C9, 425
4140000,     4143000,     USB, 10,  #55008080, 426
4143000,     4146000,     USB, 10,  #5500C9C9, 427
4146000,     4233100,     USB, 10,  #55008080, Maritime
4233100,     4236100,     USB, 10,  #5500FF91, WEFAX Boston MA Night
4236100,     4269100,     USB, 10,  #55008080, Maritime
4269100,     4272100,     USB, 10,  #5500FF91, WEFAX Halifax CA
4272100,     4290100,     USB, 10,  #55008080, Maritime
4290100,     4293100,     USB, 10,  #5500FF91, WEFAX Inuvik CA
4296100,     4299100,     USB, 10,  #5500FF91, WEFAX Kodiak AK
4299100,     4316000,     USB, 10,  #55008080, Maritime
4316000,     4319000,     USB, 10,  #5500FF91, WEFAX New Orleans LA
4319000,     4344100,     USB, 10,  #55008080, Maritime
4344100,     4347100,     USB, 10,  #5500FF91, WEFAX PT. Reyes CA (Night)
4347100,     4351000,     USB, 10,  #55008080, Maritime
4347100,     4414100,     USB, 10,  #55008080, (Coast TX) Maritime
4351000,     4354000,     USB, 10,  #5500C9C9, ITU Ch.428 (Coast TX)
4354000,     4357000,     USB, 10,  #55008080, 429
4357000,     4360000,     USB, 10,  #5500C9C9, 401
4360000,     4363000,     USB, 10,  #55008080, 402
4363000,     4366000,     USB, 10,  #5500C9C9, 403
4366000,     4369000,     USB, 10,  #55008080, 404
4369000,     4372000,     USB, 10,  #5500C9C9, 405
4372000,     4375000,     USB, 10,  #55008080, 406
4375000,     4378000,     USB, 10,  #5500C9C9, 407
4378000,     4381000,     USB, 10,  #55008080, 408
4381000,     4384000,     USB, 10,  #5500C9C9, 409
4384000,     4387000,     USB, 10,  #55008080, 410
4387000,     4390000,     USB, 10,  #5500C9C9, 411
4390000,     4393000,     USB, 10,  #55008080, 412
4393000,     4396000,     USB, 10,  #5500C9C9, 413
4396000,     4399000,     USB, 10,  #55008080, 414
4399000,     4402000,     USB, 10,  #5500C9C9, 415
4402000,     4405000,     USB, 10,  #55008080, 416
4405000,     4408000,     USB, 10,  #5500C9C9, 417
4408000,     4411000,     USB, 10,  #55008080, 418
4411000,     4414000,     USB, 10,  #5500C9C9, 419
4414000,     4417000,     USB, 10,  #5500FF91, 420/WEFAX Sydney -Nova Scotia CA (Night)
4414100,     4417100,     USB, 10,  #5500FF91, WEFAX Sydney -Nova Scotia CA (Night)
4417000,     4420000,     USB, 10,  #5500FF91, 421
4417100,     4625000,     USB, 10,  #55008080, (Coast TX) Maritime/ CODAR
4420000,     4423000,     USB, 10,  #5500C9C9, 422
4423000,     4426000,     USB, 10,  #55008080, 423
4426000,     4429000,     USB, 10,  #5500C9C9, 424
4429000,     4432000,     USB, 10,  #55008080, 425
4432000,     4435000,     USB, 10,  #5500C9C9, 426
4435000,     4438000,     USB, 10,  #55008080, 427
4438000,     4625000,     USB, 10,  #5500C9C9, Maritime/ CODAR
4625000,     4628000,     USB, 1,   #50DD1111, UVB-76 (Lower)
4625000,     4724000,     USB, 10,  #55008080, Maritime
4724000,     4727000,     USB, 10,  #5090EE90, HFGCS
4727000,     4750000,     USB, 10,  #55008080, Maritime
4750000,     4995000,     AM,  10,  #505D63FF, Shortwave (Tropical Band 60m) Broadcast
4995000,     5005000,     AM,  10,  #44FF00FF, WWV NIST
5005000,     5060000,     AM,  10,  #505D63FF, Shortwave (Tropical Band 60m) Broadcast
5060000,     5330500,     USB, 10,  #55008080, Maritime/ Private Land Mobile
5330500,     5333400,     USB, 10,  #500000FF, 60m Ham Band| Ch. 1
5346500,     5349400,     USB, 10,  #500000FF, Ch. 2 (60m)
5357000,     5359900,     USB, 10,  #500000FF, Ch. 3 (60m)
5371500,     5374400,     USB, 10,  #500000FF, Ch. 4 (60m)
5403500,     5406400,     USB, 10,  #500000FF, Ch. 5 |60m Ham Band
5406400,     5900000,     USB, 10,  #505D88FF, Aeronautical (HFDL)
5900000,     6200000,     AM,  10,  #505D63FF, Shortwave (49m) Broadcast
6200000,     6203000,     USB, 10,  #55008080, ITU Ch.601 (Ship TX)
6200000,     6215000,     USB, 10,  #55008080, (Ship TX) Maritime
6203000,     6206000,     USB, 10,  #5500C9C9, 602
6206000,     6209000,     USB, 10,  #55008080, 603
6209000,     6212000,     USB, 10,  #5500C9C9, 604
6212000,     6215000,     USB, 10,  #55008080, 605
6215000,     6218000,     USB, 10,  #50FF0091, 606 (Calling/Distress/Safety)
6215000,     6218000,     USB, 10,  #50FF0091, (Distress/ Safety)
6218000,     6221000,     USB, 10,  #55008080, 607
6218000,     6338600,     USB, 10,  #55008080, (Ship TX) Maritime
6221000,     6224000,     USB, 10,  #5500C9C9, 608
6224000,     6338600,     USB, 10,  #55008080, Maritime
6338600,     6341600,     USB, 10,  #5500FF91, WEFAX Boston MA
6341600,     6494500,     USB, 10,  #55008080, Maritime
6494500,     6497500,     USB, 10,  #5500FF91, WEFAX Halifax CA
6497500,     6501000,     USB, 10,  #55008080, (Ship TX) Maritime
6501000,     6504000,     USB, 10,  #55008080, ITU Ch.601 (Ship TX)
